channel_index,donors,end_seconds,method,missing_samples,model_holdout_normalized_rmse,record,start_seconds,temporal_holdout_normalized_rmse,training_source,trial,validation_points,warning
0,,22.13,cross_sensor_ridge_within_recording,38,0.15192128245795633,ashu_1,21.76,0.3918847844855116,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
1,,22.13,cross_sensor_ridge_within_recording,38,0.15192128245795633,ashu_1,21.76,0.3918847844855116,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
2,,22.13,cross_sensor_ridge_within_recording,38,0.15192128245795633,ashu_1,21.76,0.3918847844855116,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
3,,22.13,cross_sensor_ridge_within_recording,38,0.15192128245795633,ashu_1,21.76,0.3918847844855116,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
4,,22.13,cross_sensor_ridge_within_recording,38,0.15192128245795633,ashu_1,21.76,0.3918847844855116,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
5,,22.13,cross_sensor_ridge_within_recording,38,0.15192128245795633,ashu_1,21.76,0.3918847844855116,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
6,,22.13,cross_sensor_ridge_within_recording,38,0.15192128245795633,ashu_1,21.76,0.3918847844855116,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
7,,22.13,cross_sensor_ridge_within_recording,38,0.15192128245795633,ashu_1,21.76,0.3918847844855116,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
8,,22.13,cross_sensor_ridge_within_recording,38,0.15192128245795633,ashu_1,21.76,0.3918847844855116,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
9,,22.13,cross_sensor_ridge_within_recording,38,0.15192128245795633,ashu_1,21.76,0.3918847844855116,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
10,,22.13,cross_sensor_ridge_within_recording,38,0.15192128245795633,ashu_1,21.76,0.3918847844855116,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
11,,22.13,cross_sensor_ridge_within_recording,38,0.15192128245795633,ashu_1,21.76,0.3918847844855116,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
12,,22.13,cross_sensor_ridge_within_recording,38,0.15192128245795633,ashu_1,21.76,0.3918847844855116,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
13,,22.13,cross_sensor_ridge_within_recording,38,0.15192128245795633,ashu_1,21.76,0.3918847844855116,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
14,,22.13,cross_sensor_ridge_within_recording,38,0.15192128245795633,ashu_1,21.76,0.3918847844855116,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
15,,22.13,cross_sensor_ridge_within_recording,38,0.15192128245795633,ashu_1,21.76,0.3918847844855116,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
16,,0.0,cross_sensor_ridge_within_recording,1,0.09571704338508673,ashu_1,0.0,0.36296529496951396,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
17,,0.0,cross_sensor_ridge_within_recording,1,0.09571704338508673,ashu_1,0.0,0.36296529496951396,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
0,,2.2800000000000002,cross_sensor_ridge_within_recording,36,0.0856274023687715,ashu_1,1.93,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
0,,21.64,cross_sensor_ridge_within_recording,1,0.0856274023687715,ashu_1,21.64,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
1,,2.2800000000000002,cross_sensor_ridge_within_recording,36,0.0856274023687715,ashu_1,1.93,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
1,,21.64,cross_sensor_ridge_within_recording,1,0.0856274023687715,ashu_1,21.64,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
2,,2.2800000000000002,cross_sensor_ridge_within_recording,36,0.0856274023687715,ashu_1,1.93,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
2,,21.64,cross_sensor_ridge_within_recording,1,0.0856274023687715,ashu_1,21.64,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
3,,2.2800000000000002,cross_sensor_ridge_within_recording,36,0.0856274023687715,ashu_1,1.93,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
3,,21.64,cross_sensor_ridge_within_recording,1,0.0856274023687715,ashu_1,21.64,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
4,,2.2800000000000002,cross_sensor_ridge_within_recording,36,0.0856274023687715,ashu_1,1.93,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
4,,21.64,cross_sensor_ridge_within_recording,1,0.0856274023687715,ashu_1,21.64,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
5,,2.2800000000000002,cross_sensor_ridge_within_recording,36,0.0856274023687715,ashu_1,1.93,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
5,,21.64,cross_sensor_ridge_within_recording,1,0.0856274023687715,ashu_1,21.64,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
6,,2.2800000000000002,cross_sensor_ridge_within_recording,36,0.0856274023687715,ashu_1,1.93,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
6,,21.64,cross_sensor_ridge_within_recording,1,0.0856274023687715,ashu_1,21.64,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
7,,2.2800000000000002,cross_sensor_ridge_within_recording,36,0.0856274023687715,ashu_1,1.93,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
7,,21.64,cross_sensor_ridge_within_recording,1,0.0856274023687715,ashu_1,21.64,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
8,,2.2800000000000002,cross_sensor_ridge_within_recording,36,0.0856274023687715,ashu_1,1.93,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
8,,21.64,cross_sensor_ridge_within_recording,1,0.0856274023687715,ashu_1,21.64,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
9,,2.2800000000000002,cross_sensor_ridge_within_recording,36,0.0856274023687715,ashu_1,1.93,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
9,,21.64,cross_sensor_ridge_within_recording,1,0.0856274023687715,ashu_1,21.64,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
10,,2.2800000000000002,cross_sensor_ridge_within_recording,36,0.0856274023687715,ashu_1,1.93,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
10,,21.64,cross_sensor_ridge_within_recording,1,0.0856274023687715,ashu_1,21.64,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
11,,2.2800000000000002,cross_sensor_ridge_within_recording,36,0.0856274023687715,ashu_1,1.93,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
11,,21.64,cross_sensor_ridge_within_recording,1,0.0856274023687715,ashu_1,21.64,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
12,,2.2800000000000002,cross_sensor_ridge_within_recording,36,0.0856274023687715,ashu_1,1.93,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
12,,21.64,cross_sensor_ridge_within_recording,1,0.0856274023687715,ashu_1,21.64,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
13,,2.2800000000000002,cross_sensor_ridge_within_recording,36,0.0856274023687715,ashu_1,1.93,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
13,,21.64,cross_sensor_ridge_within_recording,1,0.0856274023687715,ashu_1,21.64,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
14,,2.2800000000000002,cross_sensor_ridge_within_recording,36,0.0856274023687715,ashu_1,1.93,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
14,,21.64,cross_sensor_ridge_within_recording,1,0.0856274023687715,ashu_1,21.64,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
15,,2.2800000000000002,cross_sensor_ridge_within_recording,36,0.0856274023687715,ashu_1,1.93,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
15,,21.64,cross_sensor_ridge_within_recording,1,0.0856274023687715,ashu_1,21.64,0.27011680326691656,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
16,,21.64,cross_sensor_ridge_within_recording,1,0.08809097967787992,ashu_1,21.64,0.27128100116512033,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
17,,21.64,cross_sensor_ridge_within_recording,1,0.08809097967787992,ashu_1,21.64,0.27128100116512033,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
18,,0.0,cross_sensor_ridge_within_recording,1,0.09597133431036914,ashu_1,0.0,0.22435457763099503,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
18,,21.64,cross_sensor_ridge_within_recording,1,0.09597133431036914,ashu_1,21.64,0.22435457763099503,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
19,,0.0,cross_sensor_ridge_within_recording,1,0.09597133431036914,ashu_1,0.0,0.22435457763099503,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
19,,21.64,cross_sensor_ridge_within_recording,1,0.09597133431036914,ashu_1,21.64,0.22435457763099503,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
0,,11.83,cross_sensor_ridge_within_recording,107,0.12581057252123798,ashu_1,10.77,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
0,,14.35,cross_sensor_ridge_within_recording,72,0.12581057252123798,ashu_1,13.64,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
0,,18.990000000000002,cross_sensor_ridge_within_recording,142,0.12581057252123798,ashu_1,17.580000000000002,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
0,,19.37,cross_sensor_ridge_within_recording,36,0.12581057252123798,ashu_1,19.02,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
1,,11.83,cross_sensor_ridge_within_recording,107,0.12581057252123798,ashu_1,10.77,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
1,,14.35,cross_sensor_ridge_within_recording,72,0.12581057252123798,ashu_1,13.64,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
1,,18.990000000000002,cross_sensor_ridge_within_recording,142,0.12581057252123798,ashu_1,17.580000000000002,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
1,,19.37,cross_sensor_ridge_within_recording,36,0.12581057252123798,ashu_1,19.02,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
2,,11.83,cross_sensor_ridge_within_recording,107,0.12581057252123798,ashu_1,10.77,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
2,,14.35,cross_sensor_ridge_within_recording,72,0.12581057252123798,ashu_1,13.64,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
2,,18.990000000000002,cross_sensor_ridge_within_recording,142,0.12581057252123798,ashu_1,17.580000000000002,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
2,,19.37,cross_sensor_ridge_within_recording,36,0.12581057252123798,ashu_1,19.02,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
3,,11.83,cross_sensor_ridge_within_recording,107,0.12581057252123798,ashu_1,10.77,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
3,,14.35,cross_sensor_ridge_within_recording,72,0.12581057252123798,ashu_1,13.64,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
3,,18.990000000000002,cross_sensor_ridge_within_recording,142,0.12581057252123798,ashu_1,17.580000000000002,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
3,,19.37,cross_sensor_ridge_within_recording,36,0.12581057252123798,ashu_1,19.02,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
4,,11.83,cross_sensor_ridge_within_recording,107,0.12581057252123798,ashu_1,10.77,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
4,,14.35,cross_sensor_ridge_within_recording,72,0.12581057252123798,ashu_1,13.64,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
4,,18.990000000000002,cross_sensor_ridge_within_recording,142,0.12581057252123798,ashu_1,17.580000000000002,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
4,,19.37,cross_sensor_ridge_within_recording,36,0.12581057252123798,ashu_1,19.02,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
5,,11.83,cross_sensor_ridge_within_recording,107,0.12581057252123798,ashu_1,10.77,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
5,,14.35,cross_sensor_ridge_within_recording,72,0.12581057252123798,ashu_1,13.64,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
5,,18.990000000000002,cross_sensor_ridge_within_recording,142,0.12581057252123798,ashu_1,17.580000000000002,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
5,,19.37,cross_sensor_ridge_within_recording,36,0.12581057252123798,ashu_1,19.02,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
6,,11.83,cross_sensor_ridge_within_recording,107,0.12581057252123798,ashu_1,10.77,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
6,,14.35,cross_sensor_ridge_within_recording,72,0.12581057252123798,ashu_1,13.64,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
6,,18.990000000000002,cross_sensor_ridge_within_recording,142,0.12581057252123798,ashu_1,17.580000000000002,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
6,,19.37,cross_sensor_ridge_within_recording,36,0.12581057252123798,ashu_1,19.02,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
7,,11.83,cross_sensor_ridge_within_recording,107,0.12581057252123798,ashu_1,10.77,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
7,,14.35,cross_sensor_ridge_within_recording,72,0.12581057252123798,ashu_1,13.64,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
7,,18.990000000000002,cross_sensor_ridge_within_recording,142,0.12581057252123798,ashu_1,17.580000000000002,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
7,,19.37,cross_sensor_ridge_within_recording,36,0.12581057252123798,ashu_1,19.02,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
8,,11.83,cross_sensor_ridge_within_recording,107,0.12581057252123798,ashu_1,10.77,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
8,,14.35,cross_sensor_ridge_within_recording,72,0.12581057252123798,ashu_1,13.64,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
8,,18.990000000000002,cross_sensor_ridge_within_recording,142,0.12581057252123798,ashu_1,17.580000000000002,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
8,,19.37,cross_sensor_ridge_within_recording,36,0.12581057252123798,ashu_1,19.02,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
9,,11.83,cross_sensor_ridge_within_recording,107,0.12581057252123798,ashu_1,10.77,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
9,,14.35,cross_sensor_ridge_within_recording,72,0.12581057252123798,ashu_1,13.64,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
9,,18.990000000000002,cross_sensor_ridge_within_recording,142,0.12581057252123798,ashu_1,17.580000000000002,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
9,,19.37,cross_sensor_ridge_within_recording,36,0.12581057252123798,ashu_1,19.02,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
10,,11.83,cross_sensor_ridge_within_recording,107,0.12581057252123798,ashu_1,10.77,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
10,,14.35,cross_sensor_ridge_within_recording,72,0.12581057252123798,ashu_1,13.64,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
10,,18.990000000000002,cross_sensor_ridge_within_recording,142,0.12581057252123798,ashu_1,17.580000000000002,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
10,,19.37,cross_sensor_ridge_within_recording,36,0.12581057252123798,ashu_1,19.02,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
11,,11.83,cross_sensor_ridge_within_recording,107,0.12581057252123798,ashu_1,10.77,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
11,,14.35,cross_sensor_ridge_within_recording,72,0.12581057252123798,ashu_1,13.64,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
11,,18.990000000000002,cross_sensor_ridge_within_recording,142,0.12581057252123798,ashu_1,17.580000000000002,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
11,,19.37,cross_sensor_ridge_within_recording,36,0.12581057252123798,ashu_1,19.02,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
12,,11.83,cross_sensor_ridge_within_recording,107,0.12581057252123798,ashu_1,10.77,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
12,,14.35,cross_sensor_ridge_within_recording,72,0.12581057252123798,ashu_1,13.64,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
12,,18.990000000000002,cross_sensor_ridge_within_recording,142,0.12581057252123798,ashu_1,17.580000000000002,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
12,,19.37,cross_sensor_ridge_within_recording,36,0.12581057252123798,ashu_1,19.02,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
13,,11.83,cross_sensor_ridge_within_recording,107,0.12581057252123798,ashu_1,10.77,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
13,,14.35,cross_sensor_ridge_within_recording,72,0.12581057252123798,ashu_1,13.64,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
13,,18.990000000000002,cross_sensor_ridge_within_recording,142,0.12581057252123798,ashu_1,17.580000000000002,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
13,,19.37,cross_sensor_ridge_within_recording,36,0.12581057252123798,ashu_1,19.02,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
14,,11.83,cross_sensor_ridge_within_recording,107,0.12581057252123798,ashu_1,10.77,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
14,,14.35,cross_sensor_ridge_within_recording,72,0.12581057252123798,ashu_1,13.64,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
14,,18.990000000000002,cross_sensor_ridge_within_recording,142,0.12581057252123798,ashu_1,17.580000000000002,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
14,,19.37,cross_sensor_ridge_within_recording,36,0.12581057252123798,ashu_1,19.02,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
15,,11.83,cross_sensor_ridge_within_recording,107,0.12581057252123798,ashu_1,10.77,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
15,,14.35,cross_sensor_ridge_within_recording,72,0.12581057252123798,ashu_1,13.64,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
15,,18.990000000000002,cross_sensor_ridge_within_recording,142,0.12581057252123798,ashu_1,17.580000000000002,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
15,,19.37,cross_sensor_ridge_within_recording,36,0.12581057252123798,ashu_1,19.02,0.3668915338644833,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
16,,0.0,cross_sensor_ridge_within_recording,1,0.07613769985352524,ashu_1,0.0,0.3148903316270934,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
17,,0.0,cross_sensor_ridge_within_recording,1,0.07613769985352524,ashu_1,0.0,0.3148903316270934,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
18,,0.0,cross_sensor_ridge_within_recording,1,0.08431430763879842,ashu_1,0.0,0.21783777003462734,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
19,,0.0,cross_sensor_ridge_within_recording,1,0.08431430763879842,ashu_1,0.0,0.21783777003462734,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
0,,21.17,cross_sensor_ridge_within_recording,1,0.13298922440843583,ashu_1,21.17,0.34343773682049805,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
1,,21.17,cross_sensor_ridge_within_recording,1,0.13298922440843583,ashu_1,21.17,0.34343773682049805,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
2,,21.17,cross_sensor_ridge_within_recording,1,0.13298922440843583,ashu_1,21.17,0.34343773682049805,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
3,,21.17,cross_sensor_ridge_within_recording,1,0.13298922440843583,ashu_1,21.17,0.34343773682049805,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
4,,21.17,cross_sensor_ridge_within_recording,1,0.13298922440843583,ashu_1,21.17,0.34343773682049805,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
5,,21.17,cross_sensor_ridge_within_recording,1,0.13298922440843583,ashu_1,21.17,0.34343773682049805,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
6,,21.17,cross_sensor_ridge_within_recording,1,0.13298922440843583,ashu_1,21.17,0.34343773682049805,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
7,,21.17,cross_sensor_ridge_within_recording,1,0.13298922440843583,ashu_1,21.17,0.34343773682049805,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
8,,21.17,cross_sensor_ridge_within_recording,1,0.13298922440843583,ashu_1,21.17,0.34343773682049805,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
9,,21.17,cross_sensor_ridge_within_recording,1,0.13298922440843583,ashu_1,21.17,0.34343773682049805,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
10,,21.17,cross_sensor_ridge_within_recording,1,0.13298922440843583,ashu_1,21.17,0.34343773682049805,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
11,,21.17,cross_sensor_ridge_within_recording,1,0.13298922440843583,ashu_1,21.17,0.34343773682049805,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
12,,21.17,cross_sensor_ridge_within_recording,1,0.13298922440843583,ashu_1,21.17,0.34343773682049805,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
13,,21.17,cross_sensor_ridge_within_recording,1,0.13298922440843583,ashu_1,21.17,0.34343773682049805,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
14,,21.17,cross_sensor_ridge_within_recording,1,0.13298922440843583,ashu_1,21.17,0.34343773682049805,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
15,,21.17,cross_sensor_ridge_within_recording,1,0.13298922440843583,ashu_1,21.17,0.34343773682049805,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
16,,0.0,cross_sensor_ridge_within_recording,1,0.05505654989096735,ashu_1,0.0,0.41352862136550783,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
16,,21.17,cross_sensor_ridge_within_recording,1,0.05505654989096735,ashu_1,21.17,0.41352862136550783,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
17,,0.0,cross_sensor_ridge_within_recording,1,0.05505654989096735,ashu_1,0.0,0.41352862136550783,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
17,,21.17,cross_sensor_ridge_within_recording,1,0.05505654989096735,ashu_1,21.17,0.41352862136550783,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
0,,21.11,cross_sensor_ridge_within_recording,1,0.15002572791200705,ashu_1,21.11,0.3218445351078725,within_recording,5,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
1,,21.11,cross_sensor_ridge_within_recording,1,0.15002572791200705,ashu_1,21.11,0.3218445351078725,within_recording,5,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
2,,21.11,cross_sensor_ridge_within_recording,1,0.15002572791200705,ashu_1,21.11,0.3218445351078725,within_recording,5,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
